package,cve,severity,fixed_in_version
"tar","CVE-2025-45582 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libncurses6","CVE-2023-50495 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libncurses6","CVE-2025-6141 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libpcre3","CVE-2017-11164 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"gcc-12-base","CVE-2022-27943 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"perl-base","CVE-2023-31486 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"perl-base","CVE-2023-47039 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"libgssapi-krb5-2","CVE-2018-5709 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"libsystemd0","CVE-2023-7008 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libtinfo6","CVE-2023-50495 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libtinfo6","CVE-2025-6141 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"passwd","CVE-2023-29383 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"passwd","CVE-2024-56433 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libssl3","CVE-2024-41996 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libssl3","CVE-2025-27587 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libkrb5-3","CVE-2018-5709 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"libpam-modules-bin","CVE-2024-10041 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libpam-modules-bin","CVE-2025-8941 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libpcre2-8-0","CVE-2022-41409 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libncursesw6","CVE-2023-50495 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libncursesw6","CVE-2025-6141 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libstdc++6","CVE-2022-27943 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libc-bin","CVE-2016-20013 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"login","CVE-2023-29383 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"login","CVE-2024-56433 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libzstd1","CVE-2022-4899 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libpam-modules","CVE-2024-10041 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libpam-modules","CVE-2025-8941 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"gpgv","CVE-2022-3219 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libudev1","CVE-2023-7008 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libtasn1-6","CVE-2021-46848 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"ncurses-bin","CVE-2023-50495 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"ncurses-bin","CVE-2025-6141 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libkrb5support0","CVE-2018-5709 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"libk5crypto3","CVE-2018-5709 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"libc6","CVE-2016-20013 on Ubuntu 22.04 LTS (jammy) - negligible","Negligible",""
"libgcc-s1","CVE-2022-27943 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"coreutils","CVE-2016-2781 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"coreutils","CVE-2025-5278 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libpam-runtime","CVE-2024-10041 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libpam-runtime","CVE-2025-8941 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libgcrypt20","CVE-2024-2236 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"libpam0g","CVE-2024-10041 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"libpam0g","CVE-2025-8941 on Ubuntu 22.04 LTS (jammy) - medium","Medium",""
"ncurses-base","CVE-2023-50495 on Ubuntu 22.04 LTS (jammy) - low","Low",""
"ncurses-base","CVE-2025-6141 on Ubuntu 22.04 LTS (jammy) - low","Low",""
